fold_label,window_type,rolling_train_months,test_month,train_start_date,train_end_date,observations_in_fold,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,buy_count,hold_count,sell_count,ending_equity_net
2006-02,rolling,36,2006-02,2003-02-28,2006-01-31,1,0.024594562688423638,,,0.0,,0.0,0,1,0,1.0020267999999999
2006-03,rolling,36,2006-03,2003-03-31,2006-02-28,1,-0.18805794959478017,,,0.0,,0.0,0,1,0,0.9827893
2006-04,rolling,36,2006-04,2003-04-30,2006-03-31,1,-0.09801603444556295,,,0.0,,0.0,0,1,0,0.9914403
2006-05,rolling,36,2006-05,2003-05-30,2006-04-28,1,-0.03643133451569158,,,0.0,,0.0,0,1,0,0.99691215
2006-06,rolling,36,2006-06,2003-06-30,2006-05-31,1,0.025634337476778235,,,0.0,,0.0,0,1,0,1.0021115
2006-07,rolling,36,2006-07,2003-07-31,2006-06-30,1,0.2089761808111985,,,0.0,,0.0,0,1,0,1.0159402
2006-08,rolling,36,2006-08,2003-08-29,2006-07-31,1,0.3137083010009507,,,0.0,,0.0,0,1,0,1.0229983
2006-09,rolling,36,2006-09,2003-09-30,2006-08-31,1,0.1624904756340717,,,0.0,,0.0,0,1,0,1.0126260999999999
2006-10,rolling,36,2006-10,2003-10-31,2006-09-29,1,0.10333298520682987,,,0.0,,0.0,0,1,0,1.0082283
2006-11,rolling,36,2006-11,2003-11-28,2006-10-31,1,0.20141308498515365,,,0.0,,0.0,0,1,0,1.01540905
2006-12,rolling,36,2006-12,2003-12-31,2006-11-30,1,-0.14297503643523823,,,0.0,,0.0,0,1,0,0.98722495
2007-01,rolling,36,2007-01,2004-01-30,2006-12-29,1,0.06563526609061054,,,0.0,,0.6000000000000001,1,0,0,1.00531165
2007-02,rolling,36,2007-02,2004-02-27,2007-01-31,1,0.0615795712188012,,,0.0,,0.0,0,1,0,1.00499225
2007-03,rolling,36,2007-03,2004-03-31,2007-02-28,1,0.02755561153511943,,,0.0,,0.0,0,1,0,1.0022678
2007-04,rolling,36,2007-04,2004-04-30,2007-03-30,1,0.2937994085529818,,,0.0,,0.0,0,1,0,1.0216973
2007-05,rolling,36,2007-05,2004-05-31,2007-04-30,1,0.10131236415880696,,,0.0,,0.0,0,1,0,1.0080743
2007-06,rolling,36,2007-06,2004-06-30,2007-05-31,1,-0.1346117694413388,,,0.0,,0.0,0,1,0,0.9880242
2007-07,rolling,36,2007-07,2004-07-30,2007-06-29,1,-0.10618894199153761,,,0.0,,0.0,0,1,0,0.99068855
2007-08,rolling,36,2007-08,2004-08-31,2007-07-31,1,0.03437168014631298,,,0.0,,0.0,0,1,0,1.00282015
2007-09,rolling,36,2007-09,2004-09-30,2007-08-31,1,0.046906823628447336,,,0.0,,0.6000000000000001,0,0,1,1.0038273
2007-10,rolling,36,2007-10,2004-10-29,2007-09-28,1,0.16950592145072219,,,0.0,,0.0,0,1,0,1.01313395
2007-11,rolling,36,2007-11,2004-11-30,2007-10-31,1,0.41439597962499164,,,0.0,,0.0,0,1,0,1.0293133
2007-12,rolling,36,2007-12,2004-12-31,2007-11-30,1,-0.026684171709513982,,,0.0,,0.0,0,1,0,0.99774865
2008-01,rolling,36,2008-01,2005-01-31,2007-12-31,1,0.33635943808513247,,,0.0,,0.0,0,0,1,1.0244567
2008-02,rolling,36,2008-02,2005-02-28,2008-01-31,1,0.05813944293140261,,,0.0,,0.0,0,0,1,1.00472045
2008-03,rolling,36,2008-03,2005-03-31,2008-02-29,1,0.025360489547039178,,,0.0,,0.0,0,1,0,1.0020892
2008-04,rolling,36,2008-04,2005-04-29,2008-03-31,1,-0.10246890142011311,,,0.0,,0.0,0,0,1,0.9910315000000001
2008-05,rolling,36,2008-05,2005-05-31,2008-04-30,1,-0.19425172658848056,,,0.0,,0.0,0,1,0,0.98216235
2008-06,rolling,36,2008-06,2005-06-30,2008-05-30,1,0.0012637313756873603,,,0.0,,0.0,0,1,0,1.00010525
2008-07,rolling,36,2008-07,2005-07-29,2008-06-30,1,0.000327649193615942,,,0.0,,0.0,0,1,0,1.0000273
2008-08,rolling,36,2008-08,2005-08-31,2008-07-31,1,0.15345275555319637,,,0.0,,0.0,0,0,1,1.0119677
2008-09,rolling,36,2008-09,2005-09-30,2008-08-29,1,-0.3098481502521041,,,0.0,,0.0,0,0,1,0.969569
2008-10,rolling,36,2008-10,2005-10-31,2008-09-30,1,-0.3535970859392997,,,0.0,,0.0,0,0,1,0.9642921
2008-11,rolling,36,2008-11,2005-11-30,2008-10-31,1,1.133045920659856,,,0.0,,0.0,0,0,1,1.0651645
2008-12,rolling,36,2008-12,2005-12-30,2008-11-28,1,1.0522553865624076,,,0.0,,0.0,0,0,1,1.0617427
2009-01,rolling,36,2009-01,2006-01-31,2008-12-31,1,-0.33669801944710553,,,0.0,,0.0,0,0,1,0.96636815
2009-02,rolling,36,2009-02,2006-02-28,2009-01-30,1,-0.21319225931444108,,,0.0,,0.0,0,0,1,0.98021735
2009-03,rolling,36,2009-03,2006-03-31,2009-02-27,1,0.3014858224203365,,,0.0,,0.0,0,0,1,1.02220175
2009-04,rolling,36,2009-04,2006-04-28,2009-03-31,1,-0.05922118372238705,,,0.0,,0.0,0,1,0,0.99492565
2009-05,rolling,36,2009-05,2006-05-31,2009-04-30,1,0.9731910856743393,,,0.0,,0.6000000000000001,1,0,0,1.0582723
2009-06,rolling,36,2009-06,2006-06-30,2009-05-29,1,0.11998744614523882,,,0.0,,0.0,1,0,0,1.00948785
2009-07,rolling,36,2009-07,2006-07-31,2009-06-30,1,0.8776028384211338,,,0.0,,0.0,1,0,0,1.0539022
2009-08,rolling,36,2009-08,2006-08-31,2009-07-31,1,0.2798987584265613,,,0.0,,0.0,1,0,0,1.020778
2009-09,rolling,36,2009-09,2006-09-29,2009-08-31,1,0.33913117022675987,,,0.0,,0.0,1,0,0,1.0246336
2009-10,rolling,36,2009-10,2006-10-31,2009-09-30,1,0.0016716794518161215,,,0.0,,0.0,1,0,0,1.0001392
2009-11,rolling,36,2009-11,2006-11-30,2009-10-30,1,0.5051803386670428,,,0.0,,0.0,1,0,0,1.0346633
2009-12,rolling,36,2009-12,2006-12-29,2009-11-30,1,0.08175736453493276,,,0.0,,0.0,1,0,0,1.0065704
2010-01,rolling,36,2010-01,2007-01-31,2009-12-31,1,-0.19966476745956352,,,0.0,,0.0,1,0,0,0.9816108
2010-02,rolling,36,2010-02,2007-02-28,2010-01-29,1,0.24717723513764644,,,0.0,,0.0,0,1,0,1.01857735
2010-03,rolling,36,2010-03,2007-03-30,2010-02-26,1,0.31353263670008213,,,0.0,,0.0,0,1,0,1.0229869
2010-04,rolling,36,2010-04,2007-04-30,2010-03-31,1,0.22429341147115145,,,0.0,,0.0,0,1,0,1.01700665
2010-05,rolling,36,2010-05,2007-05-31,2010-04-30,1,-0.4293823038941046,,,0.0,,0.0,0,1,0,0.9543231000000001
2010-06,rolling,36,2010-06,2007-06-29,2010-05-31,1,0.3361152642357135,,,0.0,,0.6000000000000001,0,0,1,1.0244411
2010-07,rolling,36,2010-07,2007-07-31,2010-06-30,1,0.16884811454797677,,,0.0,,0.0,0,0,1,1.01308645
2010-08,rolling,36,2010-08,2007-08-31,2010-07-30,1,0.39768773768466215,,,0.0,,0.0,0,1,0,1.0282945
2010-09,rolling,36,2010-09,2007-09-28,2010-08-31,1,0.07375343201734141,,,0.0,,0.0,0,1,0,1.00594765
2010-10,rolling,36,2010-10,2007-10-31,2010-09-30,1,0.3099985081600496,,,0.0,,0.6000000000000001,1,0,0,1.02275725
2010-11,rolling,36,2010-11,2007-11-30,2010-10-29,1,-0.05966758806999439,,,0.0,,0.0,1,0,0,0.9948863
2010-12,rolling,36,2010-12,2007-12-31,2010-11-30,1,0.5643298306600455,,,0.0,,0.0,1,0,0,1.03799205
2011-01,rolling,36,2011-01,2008-01-31,2010-12-31,1,0.14604354181793266,,,0.0,,0.0,1,0,0,1.0114244
2011-02,rolling,36,2011-02,2008-02-29,2011-01-31,1,0.24333966016022224,,,0.0,,0.0,1,0,0,1.0183157999999999
2011-03,rolling,36,2011-03,2008-03-31,2011-02-28,1,0.025462407177942348,,,0.0,,0.0,1,0,0,1.0020975
2011-04,rolling,36,2011-04,2008-04-30,2011-03-31,1,0.3343282499887861,,,0.0,,0.0,0,1,0,1.02432685
2011-05,rolling,36,2011-05,2008-05-30,2011-04-29,1,-0.07541288376433353,,,0.0,,0.0,0,1,0,0.9934873
2011-06,rolling,36,2011-06,2008-06-30,2011-05-31,1,-0.20417813257841166,,,0.0,,0.0,0,1,0,0.9811483
2011-07,rolling,36,2011-07,2008-07-31,2011-06-30,1,0.3910052329528455,,,0.0,,0.6000000000000001,0,0,1,1.0278839
2011-08,rolling,36,2011-08,2008-08-29,2011-07-29,1,0.3930665804763518,,,0.0,,0.0,0,0,1,1.02801075
2011-09,rolling,36,2011-09,2008-09-30,2011-08-31,1,0.18351402765759883,,,0.0,,0.0,0,0,1,1.0141397
2011-10,rolling,36,2011-10,2008-10-31,2011-09-30,1,0.03059851724655749,,,0.0,,0.0,0,0,1,1.0025148
2011-11,rolling,36,2011-11,2008-11-28,2011-10-31,1,-0.044060926371022435,,,0.0,,0.0,0,0,1,0.99625195
2011-12,rolling,36,2011-12,2008-12-31,2011-11-30,1,0.24943377068576345,,,0.0,,0.0,0,0,1,1.0187308
2012-01,rolling,36,2012-01,2009-01-30,2011-12-30,1,0.19402467401029,,,0.0,,0.0,0,1,0,1.0148872
2012-02,rolling,36,2012-02,2009-02-27,2012-01-31,1,-0.03511987092799973,,,0.0,,0.0,0,1,0,0.99702515
2012-03,rolling,36,2012-03,2009-03-31,2012-02-29,1,0.02351775242661347,,,0.0,,0.6000000000000001,1,0,0,1.001939
2012-04,rolling,36,2012-04,2009-04-30,2012-03-30,1,0.03232567114745866,,,0.0,,0.0,1,0,0,1.0026547
2012-05,rolling,36,2012-05,2009-05-29,2012-04-30,1,-0.35122614125287166,,,0.0,,0.0,0,1,0,0.96458635
2012-06,rolling,36,2012-06,2009-06-30,2012-05-31,1,-0.005484564623879917,,,0.0,,0.6000000000000001,0,0,1,0.9995417999999999
2012-07,rolling,36,2012-07,2009-07-31,2012-06-29,1,0.27661429046230257,,,0.0,,0.0,0,1,0,1.02055945
2012-08,rolling,36,2012-08,2009-08-31,2012-07-31,1,-0.01916810928139734,,,0.0,,0.0,0,1,0,0.99838845
2012-09,rolling,36,2012-09,2009-09-30,2012-08-31,1,0.20094533855282037,,,0.0,,0.6000000000000001,1,0,0,1.0153761
2012-10,rolling,36,2012-10,2009-10-30,2012-09-28,1,-0.09120037222758359,,,0.0,,0.0,1,0,0,0.99206245
2012-11,rolling,36,2012-11,2009-11-30,2012-10-31,1,0.005586453031101168,,,0.0,,0.0,0,1,0,1.00046435
2012-12,rolling,36,2012-12,2009-12-31,2012-11-30,1,-0.016083210387328406,,,0.0,,0.0,0,1,0,0.99864975
2013-01,rolling,36,2013-01,2010-01-29,2012-12-31,1,0.2643857553338864,,,0.0,,0.0,0,1,0,1.0197412
2013-02,rolling,36,2013-02,2010-02-26,2013-01-31,1,0.021383760551706432,,,0.0,,0.0,0,1,0,1.00176475
2013-03,rolling,36,2013-03,2010-03-31,2013-02-28,1,0.2025487209104564,,,0.0,,0.0,0,1,0,1.015489
2013-04,rolling,36,2013-04,2010-04-30,2013-03-29,1,0.14408300721178313,,,0.0,,0.0,0,1,0,1.0112801
2013-05,rolling,36,2013-05,2010-05-31,2013-04-30,1,-0.06493992409465943,,,0.0,,0.0,0,1,0,0.99442025
2013-06,rolling,36,2013-06,2010-06-30,2013-05-31,1,-0.2665046534163332,,,0.0,,0.0,0,1,0,0.97450285
2013-07,rolling,36,2013-07,2010-07-30,2013-06-28,1,0.35393218608677857,,,0.0,,0.0,0,1,0,1.0255726
2013-08,rolling,36,2013-08,2010-08-31,2013-07-31,1,-0.11974390725675599,,,0.0,,0.0,0,1,0,0.98942775
2013-09,rolling,36,2013-09,2010-09-30,2013-08-30,1,0.14233159386968786,,,0.0,,0.0,0,1,0,1.011151
2013-10,rolling,36,2013-10,2010-10-29,2013-09-30,1,0.30266352808570396,,,0.0,,0.0,0,1,0,1.0222788
2013-11,rolling,36,2013-11,2010-11-30,2013-10-31,1,0.11472333318805128,,,0.0,,0.0,0,1,0,1.0090915999999999
2013-12,rolling,36,2013-12,2010-12-31,2013-11-29,1,0.13448330093960048,,,0.0,,0.0,0,1,0,1.01057025
2014-01,rolling,36,2014-01,2011-01-31,2013-12-31,1,-0.06578584921251629,,,0.0,,0.0,1,0,0,0.99434525
2014-02,rolling,36,2014-02,2011-02-28,2014-01-31,1,0.4469236536972725,,,0.0,,0.0,0,1,0,1.03126545
2014-03,rolling,36,2014-03,2011-03-31,2014-02-28,1,0.04513170277101253,,,0.0,,0.0,1,0,0,1.00368535
2014-04,rolling,36,2014-04,2011-04-29,2014-03-31,1,0.14747342275766195,,,0.0,,0.0,0,1,0,1.0115295
2014-05,rolling,36,2014-05,2011-05-31,2014-04-30,1,0.13017592427416091,,,0.0,,0.0,1,0,0,1.01024995
2014-06,rolling,36,2014-06,2011-06-30,2014-05-30,1,0.11205911665918511,,,0.0,,0.0,0,1,0,1.0088904
2014-07,rolling,36,2014-07,2011-07-29,2014-06-30,1,-0.15347827730640018,,,0.0,,0.0,0,1,0,0.9862110000000001
2014-08,rolling,36,2014-08,2011-08-31,2014-07-31,1,0.2680761870169992,,,0.0,,0.0,0,1,0,1.0199889
2014-09,rolling,36,2014-09,2011-09-30,2014-08-29,1,-0.23448479853612603,,,0.0,,0.0,0,1,0,0.9779789
2014-10,rolling,36,2014-10,2011-10-31,2014-09-30,1,0.17880603433973152,,,0.0,,0.6000000000000001,0,0,1,1.0138029
2014-11,rolling,36,2014-11,2011-11-30,2014-10-31,1,0.17422435104065181,,,0.0,,0.0,0,1,0,1.01347395
2014-12,rolling,36,2014-12,2011-12-30,2014-11-28,1,0.008611402454243189,,,0.0,,0.0,0,1,0,1.0007148000000001
2015-01,rolling,36,2015-01,2012-01-31,2014-12-31,1,0.5499957277278231,,,0.0,,0.0,0,1,0,1.0371961
2015-02,rolling,36,2015-02,2012-02-29,2015-01-30,1,-0.19522875032003573,,,0.0,,0.0,0,0,1,0.98206305
2015-03,rolling,36,2015-03,2012-03-30,2015-02-27,1,0.05928944294777616,,,0.0,,0.0,0,1,0,1.0048114
2015-04,rolling,36,2015-04,2012-04-30,2015-03-31,1,-0.07641023127850377,,,0.0,,0.0,0,1,0,0.9933979500000001
2015-05,rolling,36,2015-05,2012-05-31,2015-04-30,1,-0.061878590783668974,,,0.0,,0.0,0,1,0,0.99469115
2015-06,rolling,36,2015-06,2012-06-29,2015-05-29,1,-0.19826258232104144,,,0.0,,0.0,0,1,0,0.981754
2015-07,rolling,36,2015-07,2012-07-31,2015-06-30,1,0.17221827852066673,,,0.0,,0.0,0,1,0,1.01332955
2015-08,rolling,36,2015-08,2012-08-31,2015-07-31,1,-0.07003864424853756,,,0.0,,0.0,0,1,0,0.99396725
2015-09,rolling,36,2015-09,2012-09-28,2015-08-31,1,0.14911551378877363,,,0.0,,0.0,0,0,1,1.01165005
2015-10,rolling,36,2015-10,2012-10-31,2015-09-30,1,0.015323783029594473,,,0.0,,0.0,0,0,1,1.0012680999999999
2015-11,rolling,36,2015-11,2012-11-30,2015-10-30,1,-0.034632007335736015,,,0.0,,0.0,0,1,0,0.99706715
